id,MinAge,MaxAge,Taxon,Rotated Lat,Rotated Lon,range
2811,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2812,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2813,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2814,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2815,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2816,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2817,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2818,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2819,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2820,283.5,290.1,Mesosaurus,-52.3569,-28.4634,"(290.1, 283.5)"
2786,283.5,290.1,Stereosternum,-49.9329,-27.4876,"(290.1, 283.5)"
