id,MinAge,MaxAge,Taxon,Rotated Lat,Rotated Lon
3541,213.2,227.0,Brachychirotherium,3.8376,-23.1639
3542,213.2,227.0,Brachychirotherium,3.8376,-23.1639
3543,213.2,227.0,Brachychirotherium,3.8376,-23.1639
3544,213.2,227.0,Brachychirotherium,3.8376,-23.1639
3534,213.2,227.0,Grallator,3.8376,-23.1639
3535,213.2,227.0,Grallator,3.8376,-23.1639
3536,213.2,227.0,Grallator,3.8376,-23.1639
3533,213.2,227.0,Eubrontes,3.8376,-23.1639
3532,213.2,227.0,Kayentapus,3.8376,-23.1639
3530,213.2,227.0,Grallator,3.8376,-23.1639
3531,213.2,227.0,Grallator,3.8376,-23.1639
3515,213.2,227.0,Gregaripus,3.8376,-23.1639
3516,213.2,227.0,Gregaripus,3.8376,-23.1639
3517,213.2,227.0,Gregaripus,3.8376,-23.1639
3518,213.2,227.0,Gregaripus,3.8376,-23.1639
3519,213.2,227.0,Gregaripus,3.8376,-23.1639
3520,213.2,227.0,Gregaripus,3.8376,-23.1639
3521,213.2,227.0,Gregaripus,3.8376,-23.1639
3522,213.2,227.0,Gregaripus,3.8376,-23.1639
3523,213.2,227.0,Gregaripus,3.8376,-23.1639
3524,213.2,227.0,Gregaripus,3.8376,-23.1639
3525,213.2,227.0,Gregaripus,3.8376,-23.1639
3526,213.2,227.0,Gregaripus,3.8376,-23.1639
3527,213.2,227.0,Gregaripus,3.8376,-23.1639
3528,213.2,227.0,Gregaripus,3.8376,-23.1639
3529,213.2,227.0,Gregaripus,3.8376,-23.1639
3513,227.0,237.0,Doswellia,1.9826,-22.3794
3514,227.0,237.0,Doswellia,1.9826,-22.3794
3512,227.0,237.0,Doswellia,1.9826,-22.3794
3511,227.0,237.0,Doswellia,1.9826,-22.3794
3510,227.0,237.0,Doswellia,1.9826,-22.3794
3508,227.0,237.0,Doswellia,1.9826,-22.3794
3509,227.0,237.0,Doswellia,1.9826,-22.3794
3507,208.5,227.0,Eosauropus,29.1465,1.6184
3506,208.5,227.0,Pseudotetrasauropus,29.1465,1.6184
3505,208.5,227.0,Tetrasauropus,32.93,13.5573
3492,208.5,227.0,Eubrontes,32.93,13.5573
3493,208.5,227.0,Eubrontes,32.93,13.5573
3494,208.5,227.0,Eubrontes,32.93,13.5573
3495,208.5,227.0,Eubrontes,32.93,13.5573
3496,208.5,227.0,Eubrontes,32.93,13.5573
3497,208.5,227.0,Eubrontes,32.93,13.5573
3498,208.5,227.0,Eubrontes,32.93,13.5573
3499,208.5,227.0,Eubrontes,32.93,13.5573
3500,208.5,227.0,Eubrontes,32.93,13.5573
3501,208.5,227.0,Eubrontes,32.93,13.5573
3502,208.5,227.0,Eubrontes,32.93,13.5573
3503,208.5,227.0,Eubrontes,32.93,13.5573
3504,208.5,227.0,Eubrontes,32.93,13.5573
3489,208.5,227.0,Teyumbaita,-46.1164,-4.6554
3488,237.0,242.0,Prestosuchus,-49.0435,-14.582
3487,208.5,227.0,Dromomeron,3.8366,-43.9682
3486,208.5,227.0,Dromomeron,3.8366,-43.9682
3485,208.5,227.0,Typothorax,3.8366,-43.9682
3484,208.5,227.0,Rioarribasuchus,3.8366,-43.9682
3483,208.5,227.0,Vivaron,3.8366,-43.9682
3482,227.0,237.0,Revueltosaurus,-0.5164,-22.3104
3466,227.0,237.0,Hwiccewyrm,24.9561,4.3648
3465,227.0,237.0,Terrestrisuchus,24.9561,4.3648
3464,227.0,237.0,Diphydontosaurus,24.9561,4.3648
3463,227.0,237.0,Terrestrisuchus,24.9561,4.3648
3462,227.0,237.0,Kuehneosaurus,24.9561,4.3648
3461,227.0,237.0,Kuehneosaurus,24.9561,4.3648
3460,227.0,237.0,Pelecymala,24.9561,4.3648
3459,227.0,237.0,Sigmala,24.9561,4.3648
