Locality,id,Taxon,MaxAge,MinAge,Rotated Lat,Rotated Lon,Area
Volgograd,2052,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2053,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2054,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2055,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2056,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2057,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2058,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2059,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2060,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2061,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2062,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2063,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2064,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2065,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2066,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2067,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2068,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2069,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2070,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2071,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2072,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2073,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2074,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2075,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2076,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2077,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2078,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2079,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2080,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2081,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2082,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2083,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2084,Benthosuchus,251.2,247.2,47.012,29.6875,1
Volgograd,2085,Benthosuchus,251.2,247.2,47.012,29.6875,1
