,occurrence_no,locality,county_original,state,cc,notes
495,749055,Utah,San Juan,Utah,US,
496,753719,Texas,Knox,Texas,US,
497,773340,Portugal,Loule,Algarve,PT,
498,773661,Opole,,Opole,PL,
499,778928,New Mexico,Guadalupe,New Mexico,US,
500,778945,New Mexico,Quay,New Mexico,US,
501,778963,Texas,Howard,Texas,US,
502,782139,Arizona,Navajo,Arizona,US,
503,782172,Arizona,Navajo,Arizona,US,
504,782200,Texas,Potter,Texas,US,
505,785869,Tatarstan,Mamadysh,Tatarstan,RU,
506,786933,Texas,Foard,Texas,US,
507,786936,Texas,Knox,Texas,US,
508,787458,Oklahoma,Noble,Oklahoma,US,
509,787459,Oklahoma,Noble,Oklahoma,US,
510,787528,Oklahoma,Noble,Oklahoma,US,
511,787561,Oklahoma,Kay,Oklahoma,US,
512,787562,Oklahoma,Kay,Oklahoma,US,
513,787580,Oklahoma,Kay,Oklahoma,US,
514,787990,Texas,Baylor,Texas,US,
515,788096,Oklahoma,Kiowa,Oklahoma,US,
516,788179,Texas,Knox,Texas,US,
517,788994,Ohio,Jefferson,Ohio,US,
518,788995,Ohio,Jefferson,Ohio,US,
519,789051,Texas,Baylor,Texas,US,
520,789060,Texas,Baylor,Texas,US,
521,789067,Texas,Baylor,Texas,US,
522,789101,Agadez,Arlit,Agadez,NE,
523,789653,Gansu,,Gansu,CN,
524,789760,Orenburg,,Orenburg,RU,
525,789761,Orenburg,,Orenburg,RU,
526,789762,Orenburg,,Orenburg,RU,
527,789765,Orenburg,,Orenburg,RU,
528,789768,Bashkortostan,,Bashkortostan,RU,
529,789770,Bashkortostan,,Bashkortostan,RU,
530,789965,Texas,Archer,Texas,US,
531,789966,Texas,Archer,Texas,US,
532,789967,Texas,Archer,Texas,US,
533,789968,Texas,Archer,Texas,US,
534,789984,Colorado,San Miguel,Colorado,US,
535,789986,Colorado,San Miguel,Colorado,US,
536,790003,Thuringia,Gotha,Thuringia,DE,
537,790215,Orenburg,,Orenburg,RU,
538,790491,Oklahoma,Noble,Oklahoma,US,
539,790492,Oklahoma,Noble,Oklahoma,US,
540,790500,Texas,Archer,Texas,US,
541,790501,Texas,Archer,Texas,US,
542,790525,New Mexico,Rio Arriba,New Mexico,US,
543,795306,Vladimir,Vyazniki,Vladimir,RU,
544,796034,Uruguay,,Cerro Largo,UY,
545,799672,Kirov,Slobodskoi,Kirov,RU,
546,799681,Orenburg,Oktyabrskoe,Orenburg,RU,
547,799682,Kirov,Malmysh,Kirov,RU,
548,799683,Kirov,Malmysh,Kirov,RU,
549,799808,Oklahoma,Grant,Oklahoma,US,
550,799809,Oklahoma,Grant,Oklahoma,US,
