Time,mean_gl_stages_z_trans,Mod_R_deltaTMyr_gl_stages_z_trans
283.2,-0.767960511,-0.712796116
283.3,-0.767960511,-0.712796116
283.4,-0.767960511,-0.712796116
283.5,-0.767960511,-0.712796116
283.6,-0.767960511,-0.712796116
283.7,-0.767960511,-0.712796116
283.8,-0.767960511,-0.712796116
283.9,-0.767960511,-0.712796116
284,-0.767960511,-0.712796116
284.1,-0.767960511,-0.712796116
284.2,-0.767960511,-0.712796116
284.3,-0.767960511,-0.712796116
284.4,-0.767960511,-0.712796116
284.5,-0.767960511,-0.712796116
284.6,-0.767960511,-0.712796116
284.7,-0.767960511,-0.712796116
284.8,-0.767960511,-0.712796116
284.9,-0.767960511,-0.712796116
285,-0.767960511,-0.712796116
285.1,-0.767960511,-0.712796116
285.2,-0.767960511,-0.712796116
285.3,-0.767960511,-0.712796116
285.4,-0.767960511,-0.712796116
285.5,-0.767960511,-0.712796116
285.6,-0.767960511,-0.712796116
285.7,-0.767960511,-0.712796116
285.8,-0.767960511,-0.712796116
285.9,-0.767960511,-0.712796116
286,-0.767960511,-0.712796116
286.1,-0.767960511,-0.712796116
286.2,-0.767960511,-0.712796116
286.3,-0.767960511,-0.712796116
286.4,-0.767960511,-0.712796116
286.5,-0.767960511,-0.712796116
286.6,-0.767960511,-0.712796116
286.7,-0.767960511,-0.712796116
286.8,-0.767960511,-0.712796116
286.9,-0.767960511,-0.712796116
287,-0.767960511,-0.712796116
287.1,-0.767960511,-0.712796116
287.2,-0.767960511,-0.712796116
287.3,-0.767960511,-0.712796116
287.4,-0.767960511,-0.712796116
287.5,-0.767960511,-0.712796116
287.6,-0.767960511,-0.712796116
287.7,-0.767960511,-0.712796116
287.8,-0.767960511,-0.712796116
287.9,-0.767960511,-0.712796116
288,-0.767960511,-0.712796116
288.1,-0.767960511,-0.712796116
288.2,-0.767960511,-0.712796116
288.3,-0.767960511,-0.712796116
288.4,-0.767960511,-0.712796116
288.5,-0.767960511,-0.712796116
288.6,-0.767960511,-0.712796116
288.7,-0.767960511,-0.712796116
288.8,-0.767960511,-0.712796116
288.9,-0.767960511,-0.712796116
289,-0.767960511,-0.712796116
289.1,-0.767960511,-0.712796116
289.2,-0.767960511,-0.712796116
289.3,-0.767960511,-0.712796116
289.4,-0.767960511,-0.712796116
289.5,-0.767960511,-0.712796116
289.6,-0.767960511,-0.712796116
289.7,-0.767960511,-0.712796116
289.8,-0.767960511,-0.712796116
289.9,-0.767960511,-0.712796116
290,-0.767960511,-0.712796116
290.1,-1.026402371,-0.307455988
