genus,Rotated_lat_min,Rotated_lat_max,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic,lat_range,lat_range_z_trans
Kinelia,40.12712,45.40269,0,1,0,0,0,5.275570000000002,0.06031062496360667
Kitchingnathus,-62.62076,-62.62076,0,0,0,1,0,0.0,-0.3368251980293161
Kocurypelta,38.38995,38.38995,0,1,0,0,0,0.0,-0.3368251980293161
Koilamasuchus,-54.97644,-54.97644,0,0,0,1,0,0.0,-0.3368251980293161
Koiloskiosaurus,26.46257,26.46257,0,1,0,0,0,0.0,-0.3368251980293161
Kranosaura,-25.48265,-25.48265,0,0,0,1,0,0.0,-0.3368251980293161
Krzyzanowskisaurus,1.353064,1.722526,0,0,1,0,0,0.36946199999999996,-0.3090127350282354
Kudnu,-54.016,-54.016,0,0,0,1,0,0.0,-0.3368251980293161
Kuehneosaurus,24.95607,35.96879,0,1,0,0,0,11.012719999999998,0.4921933953341722
Kuehneosuchus,35.96879,35.96879,0,1,0,0,0,0.0,-0.3368251980293161
Kuruxuchampsa,-49.47713,-49.47713,0,0,0,1,0,0.0,-0.3368251980293161
Kwangsisaurus,7.506519,7.506519,0,0,1,0,0,0.0,-0.3368251980293161
Labidosaurikos,-1.18553,2.461234,0,0,1,0,0,3.646764,-0.062303085271649614
Labidosauriscus,-0.7299915,-0.7299915,0,0,1,0,0,0.0,-0.3368251980293161
Labidosaurus,-1.18553,1.059264,0,0,1,0,0,2.2447939999999997,-0.1678409721277406
Lagerpeton,-49.98075,-49.98075,0,0,0,1,0,0.0,-0.3368251980293161
Lanceirosphenodon,-46.11636,-46.11636,0,0,0,1,0,0.0,-0.3368251980293161
Langeronyx,23.39688,24.55053,0,1,1,0,0,1.153649999999999,-0.2499804130684901
Langobardisaurus,20.34746,32.92995,0,1,1,0,0,12.582489999999996,0.6103629771726464
Lanthaniscus,42.68761,42.68761,0,1,0,0,0,0.0,-0.3368251980293161
Lanthanolania,42.68761,42.68761,0,1,0,0,0,0.0,-0.3368251980293161
Lanthanosuchus,40.12712,40.12712,0,1,0,0,0,0.0,-0.3368251980293161
Laquintasaura,-7.284298,-7.284298,0,0,1,0,0,0.0,-0.3368251980293161
