accepted_name	min_ma	max_ma	geoplate	paleolng	paleolat	terrestrial
Nanoparia	251.902	259.51	701.0	-17.77	-51.08	1
Rhynchosauroides	251.902	259.51	307.0	35.49	10.04	1
Rhynchosauroides	251.902	259.51	307.0	35.49	10.04	1
Pachypes	251.902	259.51	307.0	35.49	10.04	1
Procolophonichnium	251.902	259.51	307.0	35.49	10.04	1
Procolophonichnium	251.902	259.51	307.0	35.49	10.04	1
Procolophonichnium	251.902	259.51	307.0	35.49	10.04	1
Procolophonichnium	251.902	259.51	201.0	-13.99	-31.07	1
Rhynchosauroides	251.902	259.51	201.0	-13.99	-31.07	1
Hyloidichnus	251.902	259.51	707.0	6.08	13.92	1
Hyloidichnus	251.902	259.51	707.0	6.08	13.92	1
Pachypes	251.902	259.51	707.0	6.09	13.91	1
Hyloidichnus	251.902	259.51	291.0	-32.32	-41.55	1
Hyloidichnus	251.902	259.51	291.0	-32.33	-41.55	1
Hyloidichnus	251.902	259.51	707.0	6.16	13.89	1
Dromopus	251.902	259.51	707.0	6.16	13.89	1
Dromopus	251.902	259.51	707.0	6.16	13.89	1
Chirotherium	251.902	259.51	305.0	29.24	22.25	1
Chirotherium	251.902	259.51	305.0	29.24	22.25	1
Chirotherium	251.902	259.51	305.0	29.1	22.05	1
Chirotherium	251.902	259.51	305.0	29.18	21.95	1
Moradisaurus	251.902	259.51	714.0	6.57	-21.5	1
Sanchuansaurus	251.902	254.14	604.0	113.84	12.41	1
Milleretta	251.902	254.14	701.0	-15.69	-50.19	1
Moradisaurus	251.902	254.14	714.0	13.23	-3.88	1
Bunostegos	251.902	254.14	714.0	13.12	-3.48	1
Moradisaurus	251.902	254.14	714.0	13.12	-3.48	1
Elginia	251.902	254.14	313.0	19.65	32.54	1
Elginia	251.902	254.14	313.0	19.65	32.54	1
Shihtienfenia	251.902	254.14	604.0	113.89	12.38	1
Shihtienfenia	251.902	254.14	604.0	113.84	12.41	1
Shihtienfenia	251.902	254.14	604.0	115.28	13.25	1
Tangasaurus	251.902	254.14	709.0	24.02	-39.64	1
Shihtienfenia	251.902	254.14	604.0	113.89	12.38	1
Shihtienfenia	251.902	254.14	604.0	113.84	12.41	1
Dromopus	251.902	254.14	714.0	13.15	-3.48	1
Hyloidichnus	251.902	254.14	714.0	13.15	-3.48	1
Pachypes	251.902	254.14	714.0	13.15	-3.48	1
Palaeagama	251.2	254.14	701.0	-10.49	-53.25	1
Vonhuenia	251.2	251.902	302.0	50.48	41.35	1
Chasmatosuchus	251.2	251.902	302.0	61.14	38.51	1
Chirotherium	251.2	251.902	611.0	107.09	-11.42	1
Saurodektes	251.2	251.902	701.0	-13.72	-50.48	1
Saurodektes	251.2	251.902	701.0	-11.29	-50.5	1
Kadimakara	251.2	251.902	801.0	124.8	-69.82	1
