occurrence_no_x,locality,county_original,state,cc,notes,genus,age_max,age_min
922717,Eastern Cape,Inxuba Yethemba,Eastern Cape,ZA,,Lystrosaurus,251.902,247.2
922718,Eastern Cape,Inxuba Yethemba,Eastern Cape,ZA,,Lystrosaurus,251.902,247.2
922719,Eastern Cape,Inxuba Yethemba,Eastern Cape,ZA,,Lystrosaurus,251.902,247.2
922720,Eastern Cape,,Eastern Cape,ZA,,Regisaurus,251.902,247.2
922722,Eastern Cape,,Eastern Cape,ZA,,Lystrosaurus,251.902,247.2
922723,Eastern Cape,,Eastern Cape,ZA,,Lystrosaurus,251.902,247.2
922724,Eastern Cape,,Eastern Cape,ZA,,Lystrosaurus,251.902,247.2
922725,Eastern Cape,,Eastern Cape,ZA,,Lystrosaurus,251.902,247.2
922726,Eastern Cape,,Eastern Cape,ZA,,Olivierosuchus,251.902,247.2
922727,Eastern Cape,,Eastern Cape,ZA,,Scaloposaurus,251.902,247.2
922728,Eastern Cape,,Eastern Cape,ZA,,Galesaurus,251.902,247.2
922729,Eastern Cape,,Eastern Cape,ZA,,Thrinaxodon,251.902,247.2
923777,Eastern Cape,,Eastern Cape,ZA,,Kannemeyeria,247.2,242
923778,Eastern Cape,,Eastern Cape,ZA,,Bauria,247.2,242
923779,Eastern Cape,,Eastern Cape,ZA,,Trirachodon,247.2,242
923780,Eastern Cape,,Eastern Cape,ZA,,Kombuisia,247.2,242
923780,Eastern Cape,,Eastern Cape,ZA,,Kombuisia,247.2,242
923781,Eastern Cape,,Eastern Cape,ZA,,Kannemeyeria,247.2,242
923782,Eastern Cape,,Eastern Cape,ZA,,Microgomphodon,247.2,242
923783,Eastern Cape,,Eastern Cape,ZA,,Cynognathus,247.2,242
923784,Eastern Cape,,Eastern Cape,ZA,,Diademodon,247.2,242
923786,Eastern Cape,,Eastern Cape,ZA,,Kannemeyeria,247.2,242
923787,Eastern Cape,,Eastern Cape,ZA,,Cynognathus,247.2,242
923799,Eastern Cape,Sterkstroom,Eastern Cape,ZA,,Scalenodontoides,227,201.4
923799,Eastern Cape,Sterkstroom,Eastern Cape,ZA,,Scalenodontoides,227,201.4
923799,Eastern Cape,Sterkstroom,Eastern Cape,ZA,,Scalenodontoides,227,201.4
968514,Eastern Cape,Graaff-Reinet,Eastern Cape,ZA,,Emydops,259.51,254.14
969252,Eastern Cape,Graaff-Reinet,Eastern Cape,ZA,,Pelanomodon,259.51,251.902
980037,Eastern Cape,Stormberg,Eastern Cape,ZA,,Lystrosaurus,251.902,247.2
980038,Eastern Cape,Stormberg,Eastern Cape,ZA,,Lystrosaurus,251.902,247.2
980062,Eastern Cape,,Eastern Cape,ZA,,Lystrosaurus,251.902,247.2
