,genus,county,state,occurrence_no,age_max,age_min
928,Myosaurus,Maluti-A-Phofung,Free State,922661,251.902,247.2
929,Myosaurus,Maluti-A-Phofung,Free State,922661,251.902,247.2
930,Myosaurus,Maluti-A-Phofung,Free State,922661,251.902,247.2
931,Myosaurus,Maluti-A-Phofung,Free State,922661,251.902,247.2
932,Myosaurus,Maluti-A-Phofung,Free State,922661,251.902,247.2
933,Myosaurus,Maluti-A-Phofung,Free State,922661,251.902,247.2
934,Myosaurus,Maluti-A-Phofung,Free State,922661,251.902,247.2
935,Myosaurus,Maluti-A-Phofung,Free State,922661,251.902,247.2
936,Myosaurus,Maluti-A-Phofung,Free State,922661,251.902,247.2
937,Myosaurus,Maluti-A-Phofung,Free State,922661,251.902,247.2
938,Platycraniellus,Maluti-A-Phofung,Free State,922662,251.902,247.2
939,Platycraniellus,Maluti-A-Phofung,Free State,922662,251.902,247.2
960,Thrinaxodon,,Free State,922704,251.902,247.2
961,Thrinaxodon,,Free State,922704,251.902,247.2
962,Thrinaxodon,,Free State,922704,251.902,247.2
963,Thrinaxodon,,Free State,922704,251.902,247.2
985,Riograndia,,Rio Grande do Sul,923079,227.0,208.5
986,Riograndia,,Rio Grande do Sul,923079,227.0,208.5
987,Riograndia,,Rio Grande do Sul,923079,227.0,208.5
988,Riograndia,,Rio Grande do Sul,923079,227.0,208.5
989,Riograndia,,Rio Grande do Sul,923079,227.0,208.5
993,Haramiyavia,,East Greenland,923120,208.5,201.4
994,Haramiyavia,,East Greenland,923120,208.5,201.4
1001,Kombuisia,,Eastern Cape,923780,247.2,242.0
1002,Kombuisia,,Eastern Cape,923780,247.2,242.0
1009,Scalenodontoides,,Mohale's Hoek,923797,227.0,201.4
1010,Scalenodontoides,,Mohale's Hoek,923797,227.0,201.4
1011,Scalenodontoides,Sterkstroom,Eastern Cape,923799,227.0,201.4
1012,Scalenodontoides,Sterkstroom,Eastern Cape,923799,227.0,201.4
1013,Scalenodontoides,Sterkstroom,Eastern Cape,923799,227.0,201.4
1015,Jachaleria,,Rio Grande do Sul,924731,227.0,208.5
1016,Jachaleria,,Rio Grande do Sul,924731,227.0,208.5
1017,Jachaleria,,Rio Grande do Sul,924731,227.0,208.5
1018,Jachaleria,,Rio Grande do Sul,924731,227.0,208.5
1059,Kannemeyeria,Ukhahlamba,Eastern Cape,986759,247.2,242.0
1060,Kannemeyeria,Ukhahlamba,Eastern Cape,986759,247.2,242.0
1064,Australobarbarus,Kotelânichskii,Kirov,992442,264.28,259.51
1065,Australobarbarus,Kotelânichskii,Kirov,992442,264.28,259.51
1067,Suminia,Kotelnich,Kirov,992444,264.28,259.51
1068,Suminia,Kotelnich,Kirov,992444,264.28,259.51
1069,Suminia,Kotelnich,Kirov,992444,264.28,259.51
1070,Suminia,Kotelnich,Kirov,992444,264.28,259.51
