,id,occurrence_no,genus,Locality,county_original,state,cc
306,3116,787282,Dicynodontoides,Adilabad,Adilabad,Andhra Pradesh,IN
307,3115,787283,Sauroscaptor,Adilabad,Adilabad,Andhra Pradesh,IN
308,3111,787284,Sauroscaptor,Adilabad,Adilabad,Andhra Pradesh,IN
309,3112,787284,Sauroscaptor,Adilabad,Adilabad,Andhra Pradesh,IN
310,3113,787284,Sauroscaptor,Adilabad,Adilabad,Andhra Pradesh,IN
311,3114,787284,Sauroscaptor,Adilabad,Adilabad,Andhra Pradesh,IN
312,3106,787285,Pristerodon,Adilabad,Adilabad,Andhra Pradesh,IN
313,3107,787285,Pristerodon,Adilabad,Adilabad,Andhra Pradesh,IN
314,3108,787285,Pristerodon,Adilabad,Adilabad,Andhra Pradesh,IN
315,3109,787285,Pristerodon,Adilabad,Adilabad,Andhra Pradesh,IN
316,3110,787285,Pristerodon,Adilabad,Adilabad,Andhra Pradesh,IN
317,3105,787465,Dimetrodon,Noble,Noble,Oklahoma,US
318,3104,787466,Edaphosaurus,Noble,Noble,Oklahoma,US
319,3103,787529,Ophiacodon,Noble,Noble,Oklahoma,US
320,3102,787530,Dimetrodon,Noble,Noble,Oklahoma,US
321,3101,787564,Dimetrodon,Kay,Kay,Oklahoma,US
322,3100,787565,Edaphosaurus,Kay,Kay,Oklahoma,US
323,3098,787993,Mycterosaurus,Baylor,Baylor,Texas,US
324,3099,787993,Mycterosaurus,Baylor,Baylor,Texas,US
325,3083,788180,Cotylorhynchus,Knox,Knox,Texas,US
326,3084,788180,Cotylorhynchus,Knox,Knox,Texas,US
327,3085,788180,Cotylorhynchus,Knox,Knox,Texas,US
328,3086,788180,Cotylorhynchus,Knox,Knox,Texas,US
329,3087,788180,Cotylorhynchus,Knox,Knox,Texas,US
330,3088,788180,Cotylorhynchus,Knox,Knox,Texas,US
331,3089,788180,Cotylorhynchus,Knox,Knox,Texas,US
332,3090,788180,Cotylorhynchus,Knox,Knox,Texas,US
333,3091,788180,Cotylorhynchus,Knox,Knox,Texas,US
334,3092,788180,Cotylorhynchus,Knox,Knox,Texas,US
335,3093,788180,Cotylorhynchus,Knox,Knox,Texas,US
336,3094,788180,Cotylorhynchus,Knox,Knox,Texas,US
337,3095,788180,Cotylorhynchus,Knox,Knox,Texas,US
338,3096,788180,Cotylorhynchus,Knox,Knox,Texas,US
339,3097,788180,Cotylorhynchus,Knox,Knox,Texas,US
340,3081,788182,Gorgodon,Knox,Knox,Texas,US
341,3082,788182,Gorgodon,Knox,Knox,Texas,US
342,3079,788184,Knoxosaurus,Knox,Knox,Texas,US
343,3080,788184,Knoxosaurus,Knox,Knox,Texas,US
344,3078,788185,Cotylorhynchus,Knox,Knox,Texas,US
345,3077,788187,Caseopsis,Knox,Knox,Texas,US
346,3075,788190,Angelosaurus,Knox,Knox,Texas,US
347,3076,788190,Angelosaurus,Knox,Knox,Texas,US
348,3074,788191,Tappenosaurus,Knox,Knox,Texas,US
349,3072,788192,Caseoides,Knox,Knox,Texas,US
350,3073,788192,Caseoides,Knox,Knox,Texas,US
351,3071,788195,Cotylorhynchus,Knox,Knox,Texas,US
352,3067,788196,Cotylorhynchus,Hardeman,Hardeman,Texas,US
353,3068,788196,Cotylorhynchus,Hardeman,Hardeman,Texas,US
354,3069,788196,Cotylorhynchus,Hardeman,Hardeman,Texas,US
355,3070,788196,Cotylorhynchus,Hardeman,Hardeman,Texas,US
356,3066,788197,Dimetrodon,Knox,Knox,Texas,US
357,3065,788198,Caseopsis,Knox,Knox,Texas,US
358,3061,788199,Cotylorhynchus,Knox,Knox,Texas,US
359,3062,788199,Cotylorhynchus,Knox,Knox,Texas,US
360,3063,788199,Cotylorhynchus,Knox,Knox,Texas,US
361,3064,788199,Cotylorhynchus,Knox,Knox,Texas,US
362,3060,788201,Baldwinonus,Rio Arriba,Rio Arriba,New Mexico,US
363,3059,788202,Ruthiromia,Rio Arriba,Rio Arriba,New Mexico,US
364,3058,788203,Aerosaurus,Rio Arriba,Rio Arriba,New Mexico,US
365,3057,788207,Nitosaurus,Rio Arriba,Rio Arriba,New Mexico,US
366,3056,788212,Angelosaurus,Knox,Knox,Texas,US
