id	Species	min_age	max_age	Status
3159	Oedaleops	286.1	303.7	extant
3160	Oedaleops	286.1	303.7	extant
3154	Aerosaurus	286.1	303.7	extant
3155	Aerosaurus	286.1	303.7	extant
3156	Aerosaurus	286.1	303.7	extant
3124	Endothiodon_Temperate_S	254.14	259.51	extant
3125	Endothiodon_Temperate_S	254.14	259.51	extant
3126	Endothiodon_Temperate_S	254.14	259.51	extant
3127	Endothiodon_Temperate_S	254.14	259.51	extant
3128	Endothiodon_Temperate_S	254.14	259.51	extant
3129	Endothiodon_Temperate_S	254.14	259.51	extant
3130	Endothiodon_Temperate_S	254.14	259.51	extant
3131	Endothiodon_Temperate_S	254.14	259.51	extant
3132	Endothiodon_Temperate_S	254.14	259.51	extant
3133	Endothiodon_Temperate_S	254.14	259.51	extant
3134	Endothiodon_Temperate_S	254.14	259.51	extant
3135	Endothiodon_Temperate_S	254.14	259.51	extant
3136	Endothiodon_Temperate_S	254.14	259.51	extant
3137	Endothiodon_Temperate_S	254.14	259.51	extant
3138	Endothiodon_Temperate_S	254.14	259.51	extant
3139	Endothiodon_Temperate_S	254.14	259.51	extant
3140	Endothiodon_Temperate_S	254.14	259.51	extant
3141	Endothiodon_Temperate_S	254.14	259.51	extant
3142	Endothiodon_Temperate_S	254.14	259.51	extant
3143	Endothiodon_Temperate_S	254.14	259.51	extant
3144	Endothiodon_Temperate_S	254.14	259.51	extant
3145	Endothiodon_Temperate_S	254.14	259.51	extant
3146	Endothiodon_Temperate_S	254.14	259.51	extant
3147	Endothiodon_Temperate_S	254.14	259.51	extant
3148	Endothiodon_Temperate_S	254.14	259.51	extant
3149	Endothiodon_Temperate_S	254.14	259.51	extant
3150	Endothiodon_Temperate_S	254.14	259.51	extant
3151	Endothiodon_Temperate_S	254.14	259.51	extant
3152	Endothiodon_Temperate_S	254.14	259.51	extant
3153	Endothiodon_Temperate_S	254.14	259.51	extant
3118	Endothiodon_Temperate_S	254.14	259.51	extant
3119	Endothiodon_Temperate_S	254.14	259.51	extant
3120	Endothiodon_Temperate_S	254.14	259.51	extant
3121	Endothiodon_Temperate_S	254.14	259.51	extant
3122	Endothiodon_Temperate_S	254.14	259.51	extant
3123	Endothiodon_Temperate_S	254.14	259.51	extant
3117	Oudenodon_Temperate_S	254.14	259.51	extant
3116	Dicynodontoides_Temperate_S	254.14	259.51	extant
3115	Sauroscaptor	254.14	259.51	extant
3111	Sauroscaptor	254.14	259.51	extant
3112	Sauroscaptor	254.14	259.51	extant
3113	Sauroscaptor	254.14	259.51	extant
3114	Sauroscaptor	254.14	259.51	extant
3106	Pristerodon_Temperate_S	254.14	259.51	extant
3107	Pristerodon_Temperate_S	254.14	259.51	extant
3108	Pristerodon_Temperate_S	254.14	259.51	extant
3109	Pristerodon_Temperate_S	254.14	259.51	extant
3110	Pristerodon_Temperate_S	254.14	259.51	extant
3105	Dimetrodon	283.5	290.1	extant
3104	Edaphosaurus	283.5	290.1	extant
