age_max,age_min,genus
237.0,208.5,Exaeretodon
237.0,227.0,Diademodon
237.0,208.5,Prozostrodon
242.0,237.0,Dinodontosaurus
242.0,237.0,Massetognathus
237.0,227.0,Chiniquodon
237.0,227.0,Menadon
237.0,227.0,Probainognathus
237.0,227.0,Massetognathus
242.0,237.0,Dinodontosaurus
242.0,237.0,Protuberum
242.0,237.0,Protuberum
242.0,237.0,Massetognathus
242.0,237.0,Chiniquodon
242.0,237.0,Dinodontosaurus
242.0,237.0,Stahleckeria
242.0,237.0,Stahleckeria
242.0,237.0,Dicynodon
237.0,227.0,Gondwanadon
242.0,237.0,Chiniquodon
242.0,237.0,Traversodon
242.0,237.0,Chiniquodon
242.0,237.0,Chiniquodon
242.0,237.0,Traversodon
242.0,237.0,Exaeretodon
239.7,237.0,Nanogomphodon
227.0,208.5,Microconodon
227.0,208.5,Dromatherium
247.2,242.0,Dolichuranus
247.2,242.0,Diademodon
247.2,242.0,Trirachodon
247.2,242.0,Luangwa
247.2,242.0,Luangwa
247.2,242.0,Luangwa
247.2,242.0,Sangusaurus
247.2,242.0,Kannemeyeria
247.2,242.0,Zambiasaurus
227.0,208.5,Boreogomphodon
227.0,208.5,Microconodon
247.2,242.0,Bauria
242.0,227.0,Chiniquodon
242.0,227.0,Dadadon
247.2,242.0,Parakannemeyeria
247.2,242.0,Shansiodon
247.2,242.0,Shansiodon
247.2,242.0,Sinognathus
247.2,242.0,Sinokannemeyeria
247.2,242.0,Parakannemeyeria
247.2,242.0,Shansiodon
247.2,242.0,Parakannemeyeria
247.2,242.0,Sinokannemeyeria
247.2,242.0,Shansiodon
247.2,242.0,Parakannemeyeria
247.2,242.0,Parakannemeyeria
247.2,242.0,Parakannemeyeria
247.2,242.0,Parakannemeyeria
247.2,242.0,Shansiodon
247.2,242.0,Sinokannemeyeria
247.2,242.0,Andescynodon
247.2,242.0,Andescynodon
247.2,242.0,Bauria
247.2,242.0,Bauria
247.2,242.0,Bauria
247.2,242.0,Bauria
247.2,242.0,Diademodon
247.2,242.0,Bauria
227.0,208.5,Chaliminia
227.0,208.5,Brasilodon
227.0,208.5,Brasilodon
227.0,208.5,Brasilodon
227.0,208.5,Brasilitherium
227.0,208.5,Brasilitherium
227.0,208.5,Brasilitherium
227.0,208.5,Brasilitherium
227.0,208.5,Brasilitherium
227.0,208.5,Brasilitherium
227.0,208.5,Riograndia
227.0,208.5,Riograndia
227.0,208.5,Riograndia
227.0,208.5,Riograndia
227.0,208.5,Riograndia
227.0,208.5,Riograndia
227.0,208.5,Riograndia
247.2,242.0,Rechnisaurus
247.2,242.0,Wadiasaurus
237.0,227.0,Acratophorus
237.0,227.0,Cynognathus
247.2,242.0,Vinceria
247.2,242.0,Vinceria
247.2,242.0,Vinceria
247.2,242.0,Cromptodon
242.0,227.0,Acratophorus
237.0,227.0,Tikitherium
247.2,242.0,Cricodon
247.2,242.0,Cricodon
247.2,242.0,Cricodon
247.2,242.0,Cricodon
247.2,242.0,Diademodon
247.2,242.0,Cynognathus
247.2,242.0,Diademodon
247.2,242.0,Cricodon
247.2,242.0,Cynognathus
247.2,242.0,Cynognathus
247.2,242.0,Cynognathus
247.2,242.0,Cynognathus
