id,occurrence_no,occurrence_no_AF,Rotated latitude,genus,age_max,age_min,Epoch,range
2536,877690,877690,51.56832,Chalishevia,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2537,877792,877792,51.56832,Chalishevia,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2538,877798,877798,51.56832,Malutinisuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2539,877799,877799,51.56832,Chalishevia,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2540,877800,877800,51.56832,Energosuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2541,895292,895292,-49.04351,Barberenasuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2542,895947,895947,-49.04351,Spondylosoma,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2543,896139,896139,-49.04351,Prestosuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2544,896140,896140,-49.04351,Prestosuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2545,896145,896145,-49.04351,Prestosuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2546,896147,896147,-49.04351,Spondylosoma,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2547,922174,922174,-49.98075,Tropidosuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2548,922175,922175,-49.98075,Marasuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
2549,922176,922176,-49.98075,Luperosuchus,242.0,237.0,Middle Triassic,"(242.0, 237.0)"
