genus,lat_range_z_trans,Temperate_N,Tropical,Temperate_S,Antarctic,ts,te,time_span,avg_lam,avg_mu,mat_z_trans_NN,map_z_trans_NN,wmm_z_trans_NN,cmm_z_trans_NN,wmmcmm_z_trans_NN,wetmon_z_trans_NN,drymon_z_trans_NN,wetdry_z_trans_NN,mat_z_trans_WI,map_z_trans_WI,wmm_z_trans_WI,cmm_z_trans_WI,wmmcmm_z_trans_WI,wetmon_z_trans_WI,drymon_z_trans_WI,wetdry_z_trans_WI,Stage
Baisesaurus,-0.298764409,0,1,0,0,249.2882378058058,249.18917486086087,0.09906294494493295,5.667869668888889,3.3428972200000002,-0.668289252,-0.025101059,-1.503622264,-0.074726635,-0.77380577,-0.151211719,0.361305958,-0.327904194,-0.9535314460194027,-0.19789615975467123,-1.033301507859429,-0.6530793946084561,0.008390461880405042,-0.22543567843579868,0.0699418713850243,-0.29615222654742746,Early Triassic
Barasaurus,0.463365415,0,0,1,0,261.6933976446446,247.14297079879879,14.550426845845834,0.31733504,0.3810133522222222,-0.7834620293333333,-0.3864801542222222,0.2935208826111111,-1.0684568319444445,1.1232777288333333,-0.5697920998333333,0.2915158526111111,-0.795702062611111,-0.7834620293333333,-0.3864801542222222,0.2935208826111111,-1.0684568319444445,1.1232777288333333,-0.5697920998333333,0.2915158526111111,-0.795702062611111,Mixed
Barberenasuchus,-0.298764409,0,0,1,0,240.54129825525524,239.73270884184183,0.8085894134134151,0.5536727355555556,0.3968999866666667,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,Ladinian
Bashkyroleter,-0.245830369,1,0,0,0,274.00024856356356,264.47787993093095,9.522368632632606,2.46058983,0.8731229055555555,0.26783659600000004,0.03750075327272726,-0.23308571745454545,0.3885603551818182,-0.4791525825454546,0.06022819672727271,0.7887807086363634,-0.2528604950909091,0.26783659600000004,0.03750075327272726,-0.23308571745454545,0.3885603551818182,-0.4791525825454546,0.06022819672727271,0.7887807086363634,-0.2528604950909091,Roadian-Wordian
Batrachotomus,-0.298764409,1,0,0,0,239.3907067227227,237.27096605205205,2.119740670670666,0.790017801111111,0.6095497933333334,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,-0.237793233,0.247215242,0.337867573,-0.40831515,0.55548424,-0.067271449,-0.344019845,0.06164743,Ladinian
Belebey,-0.07999347,1,0,0,0,272.3679902642643,264.1935766816817,8.174413582582588,1.0684731077777778,0.4178490855555556,0.04781628119999999,0.1533711893,-0.495505411,0.2751322054,-0.524086416,0.08909928619999999,0.9490229736999998,-0.28449754279999995,0.04781628119999999,0.1533711893,-0.495505411,0.2751322054,-0.524086416,0.08909928619999999,0.9490229736999998,-0.28449754279999995,Roadian-Wordian
Benggwigwishingasuchus,-0.298764409,0,1,0,0,244.6007514904905,244.06363906606606,0.5371124244244356,0.9301652722222222,0.5631857433333334,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.769319312,-0.227658904,-0.818914215,-0.188571064,-0.643099228,-0.22335913000000002,-0.084157458,-0.049365216,-0.7693193120000001,-0.227658904,-0.818914215,Anisian
Bentonyx,-0.298764409,0,1,0,0,244.37459361361363,243.8718129139139,0.5027806996997128,1.0626043233333333,0.5417299933333333,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.769319312,-0.227658904,-0.818914215,-0.188571064,-0.643099228,-0.22335913,-0.084157458,-0.049365216,-0.769319312,-0.227658904,-0.818914215,Anisian
Blomosaurus,-0.298764409,1,0,0,0,251.59774778578577,251.50939713613613,0.0883506496496409,5.733415092222222,4.524472892222223,0.641031213,-0.85783329,0.400081183,0.601602015,-0.316302722,-1.156699075,-0.045629679,-1.353236972,-0.2801678186729536,-0.7878237395591996,0.34969352333440196,-0.5019728434467269,0.6461721368549328,-0.8763968269675351,-0.3127836383794559,-0.9109240665743612,Early Triassic
Boreopricea,-0.298764409,1,0,0,0,250.10914711911911,248.16156324624626,1.9475838728728547,3.708119753333334,2.191264343333333,-1.3852594053333334,-0.45942996433333333,-0.32144812666666667,-1.528444477,1.1922825719999999,-0.33777725766666666,-0.3710518706666667,-0.24809407666666664,-1.3852594053333334,-0.45942996433333333,-0.32144812666666667,-1.528444477,1.1922825719999999,-0.33777725766666666,-0.3710518706666667,-0.24809407666666664,Early Triassic
Bradysaurus,-0.298764409,0,0,1,0,264.3829662672673,257.7378799059059,6.645086361361393,2.629562054444444,0.9855395877777778,-1.5319891520000002,-0.17668963655555556,-0.8007639497777777,-1.3500031525555556,0.7640471975555556,-0.3057300717777778,0.6506989433333333,-0.6301642115555556,-1.5319891520000002,-0.17668963655555556,-0.8007639497777777,-1.3500031525555556,0.7640471975555556,-0.3057300717777778,0.6506989433333333,-0.6301642115555556,Capitanian
