genus,lat_range_z_trans,Temperate_N,Tropical,Temperate_S,Antarctic,ts,te,time_span,avg_lambda,avg_mu,mean_pt_1myr_z_trans,Mod_R_deltaTMyr_pt_1myr_z_trans
Jimusaria,1.026928271,1,0,0,0,258.1187836,251.9300858,6.188697827,0.271325803,1.254274051,-0.425312476,0.118737548
Jiufengia,-0.297424559,1,0,0,0,255.7269366,255.6082053,0.118731276,2.508809512,3.175911054,-0.558398319,-0.011961492
Jonkeria,-0.14066232,0,0,1,0,264.5327591,255.7694822,8.763276992,1.527697552,0.179188797,-0.42980528,0.308328614
Julognathus,-0.297424559,1,0,0,0,262.122379,261.4930863,0.629292711,0.971179231,0.840367317,-1.54494948,1.524856541
Kamagorgon,-0.266263272,1,0,0,0,274.2864634,267.8835165,6.402946833,0.966988396,0.388231646,-0.691259353,-0.073461069
Kannemeyeria,0.7568089,0,0,1,0,249.0969787,238.6620528,10.43492586,0.186898861,0.316389569,1.469594286,0.153210503
Karenites,-0.297424559,1,0,0,0,262.861711,260.3698301,2.491880973,1.34710888,1.421009327,-0.708439494,2.009091849
Kataigidodon,-0.297424559,0,1,0,0,218.7365938,218.1334667,0.603127144,0.633462707,0.697874622,0.039566226,0.764239401
Katumbia,-0.297424559,0,0,1,0,258.6618614,255.103041,3.558820409,1.44588252,1.544482858,-0.144202724,-0.585590769
Kawingasaurus,-0.297424559,0,0,1,0,259.0111073,254.7037009,4.307406413,1.639411334,1.593963973,-0.295352408,-0.330372085
Kembawacela,-0.297424559,0,0,1,0,259.1987494,254.3288673,4.869882103,1.694258157,1.511662839,-0.295352408,-0.330372085
Keratocephalus,-0.297424559,0,0,1,0,263.871676,260.1404734,3.731202537,1.555909708,1.304210062,-0.57537789,1.474456907
Keyseria,-0.297424559,0,0,1,0,255.0095888,254.8231433,0.186445504,1.141176699,1.709093091,-1.039392073,-0.146453112
Kitchinganomodon,0.668769528,0,0,1,0,260.9933978,253.1250744,7.868323393,1.100181177,0.592327449,-0.42399463,-0.263566842
Kombuisia,0.598015659,0,0,1,1,251.4427112,241.5916661,9.851045083,1.024320202,0.389116939,1.584158022,-0.046383468
Kotelcephalon,-0.297424559,1,0,0,0,261.3236624,260.9272605,0.396401914,1.031271902,1.631664992,0.128070492,2.493327157
