genus	lat_range_z_trans	Arctic	Temperate_N	Tropical	Temperate_S	Antarctic
Megapnosaurus	-0.3368251980293161	0	0	1	0	0
Melanorosaurus	-0.3368251980293161	0	0	0	1	0
Merriamosaurus	-0.3368251980293161	0	1	0	0	0
Mesodapedon	-0.3368251980293161	0	0	0	1	0
Mesosaurus	1.6305086006825737	0	0	0	1	1
Mesosuchus	-0.3368251980293161	0	0	0	1	0
Metamosaurus	-0.3368251980293161	0	0	1	0	0
Metashastasaurus	-0.3368251980293161	0	1	0	0	0
Microcnemus	1.1858458371227398	0	1	0	0	0
Microleter	-0.3368251980293161	0	0	1	0	0
Micromenodon	-0.3368251980293161	0	0	1	0	0
Microsphenodon	-0.3368251980293161	0	0	0	1	0
Mikadocephalus	1.593895504803064	0	1	1	0	0
Milleretta	-0.13534514636364425	0	0	0	1	0
Millerinoides	-0.3368251980293161	0	0	0	1	0
Milleropsis	-0.1630309913017909	0	0	0	1	0
Millerosaurus	-0.1630309913017909	0	0	0	1	0
Miodentosaurus	-0.3368251980293161	0	1	0	0	0
Mixosaurus	0.29235441012032404	0	0	1	0	0
Moradisaurus	-0.12553721485256128	0	0	1	0	0
Mystriosuchus	1.3463413833282876	0	1	1	0	0
Nambalia	-0.3368251980293161	0	0	0	1	0
Nanchangosaurus	0.07226556823030701	0	0	1	0	0
Nanoparia	-0.1630309913017909	0	0	0	1	0
Neoaetosauroides	-0.3368251980293161	0	0	0	1	0
Neoprocolophon	-0.3368251980293161	0	1	0	0	0
Neusticosaurus	0.312331759431557	0	1	1	0	0
Nhandumirim	-0.3368251980293161	0	0	0	1	0
Nicrosaurus	2.2702805399959582	0	1	1	0	0
Nochelesaurus	-0.3368251980293161	0	0	0	1	0
Notatesseraeraptor	-0.3368251980293161	0	1	0	0	0
Noteosuchus	-0.3368251980293161	0	0	0	1	0
Nothosaurus	3.44009601588711	0	1	1	0	0
Nundasuchus	-0.3368251980293161	0	0	0	1	0
Nyasasaurus	-0.3368251980293161	0	0	0	1	0
Nycteroleter	-0.3368251980293161	0	1	0	0	0
Nyctiboetus	-0.3368251980293161	0	1	0	0	0
Nyctiphruretus	-0.2744586505978203	0	1	0	0	0
Obirkovia	-0.2903348393450473	0	1	0	0	0
Odoiporosaurus	-0.3368251980293161	0	0	1	0	0
Odontochelys	-0.3368251980293161	0	1	0	0	0
Omphalosaurus	1.9559426170380096	0	1	1	0	0
Opisthodontosaurus	-0.3368251980293161	0	0	1	0	0
Orenburgia	0.8833837399617278	0	1	0	0	0
Orovenator	-0.3368251980293161	0	0	1	0	0
Oryctorhynchus	-0.3368251980293161	0	0	1	0	0
Oryporan	-0.3368251980293161	0	0	0	1	0
Osmolskina	-0.3368251980293161	0	1	0	0	0
Owenetta	-0.15984295624515196	0	0	0	1	0
Ozimek	-0.3368251980293161	0	1	0	0	0
Pachagnathus	-0.3368251980293161	0	0	0	1	0
Pachypleurosaurus	0.035785714902160266	0	1	1	0	0
Pachystropheus	0.18226595138291535	0	1	0	0	0
Palacrodon	5.605451130521761	0	0	1	1	1
Palaeagama	-0.3368251980293161	0	0	0	1	0
Palaeochersis	-0.3368251980293161	0	0	0	1	0
Palaeosaurus	-0.3368251980293161	0	1	0	0	0
Paleollanosaurus	2.6062106065980783	0	1	1	0	0
Paliguana	-0.3368251980293161	0	0	0	1	0
Pamelaria	-0.3368251980293161	0	0	0	1	0
Pamelina	-0.3368251980293161	0	1	0	0	0
Pampadromaeus	-0.08383222099746447	0	0	0	1	0
Panguraptor	-0.3368251980293161	0	1	0	0	0
Panphagia	-0.3368251980293161	0	0	0	1	0
Pantydraco	-0.3368251980293161	0	1	0	0	0
Panzhousaurus	-0.3368251980293161	0	0	1	0	0
Pappochelys	-0.3368251980293161	0	1	0	0	0
Parahupehsuchus	-0.3368251980293161	0	0	1	0	0
Paralonectes	-0.2466109573628195	0	1	0	0	0
Paraplacodus	-0.06977475543721276	0	1	1	0	0
Pararcus	-0.3368251980293161	0	1	0	0	0
Parasaurus	-0.18465241819595168	0	1	0	0	0
Parasuchus	4.490718050086059	0	1	1	1	0
Paratypothorax	2.3692458804342187	0	1	1	0	0
Pareiasaurus	0.8206061731345001	0	0	0	1	0
Pareiasuchus	0.8206061731345001	0	0	0	1	0
Parringtonia	-0.3368251980293161	0	0	0	1	0
Partanosaurus	-0.3368251980293161	0	1	0	0	0
