genus,lat_range,Arctic,Temperate_N,Tropical,Temperate_S,Antarctic
Scelidosaurus,0.0,0,1,0,0,0
Scharschengia,0.0,0,1,0,0,0
Schleitheimia,0.0,0,1,0,0,0
Schultzsuchus,0.0,0,0,0,1,0
Sclerocormus,0.0,0,1,0,0,0
Sclerosaurus,11.056659999999999,0,0,1,0,0
Sclerostropheus,0.0,0,0,1,0,0
Scoloparia,25.3814,0,1,1,0,0
Scolotosuchus,0.0,0,1,0,0,0
Scutarx,2.823163,0,0,1,0,0
Scutosaurus,4.5411,0,1,0,0,0
Scythosuchus,0.0,0,1,0,0,0
Seazzadactylus,0.0,0,1,0,0,0
Serpianosaurus,7.488620000000001,0,1,1,0,0
Shansisuchus,2.8764600000000016,0,1,0,0,0
Shastasaurus,27.455042,0,1,1,0,0
Shihtienfenia,2.1165499999999966,0,1,0,0,0
Shonisaurus,33.066781,0,1,1,0,0
Shringasaurus,0.0,0,0,0,1,0
Shuangbaisaurus,0.0,0,1,0,0,0
Shuvosaurus,7.5587670000000005,0,0,1,0,0
Sigmala,0.0,0,1,0,0,0
Sikannisuchus,0.0,0,1,0,0,0
Silesaurus,0.0,0,1,0,0,0
Sillosuchus,0.0,0,0,0,1,0
Simosaurus,50.77384,0,1,1,0,0
Sinocyamodus,0.0,0,1,0,0,0
Sinosaurosphargis,0.0,0,0,1,0,0
Sinosaurus,0.0,0,1,0,0,0
Skybalonyx,0.0,0,0,1,0,0
Smilodonterpeton,0.0,0,1,0,0,0
Smilosuchus,2.783462,0,0,1,0,0
Sophineta,0.0,0,1,0,0,0
Soturnia,0.0,0,0,0,1,0
Soumyasaurus,0.0,0,0,1,0,0
Sphenotitan,0.0,0,0,0,1,0
Sphodrosaurus,0.0,0,0,1,0,0
Spinosuchus,2.533447,0,0,1,0,0
Spondylolestes,0.0,0,0,0,1,0
Spondylosoma,0.0,0,0,0,1,0
Stagonolepis,34.784999,0,1,1,0,0
Stagonosuchus,0.0,0,0,0,1,0
Staurikosaurus,0.0,0,0,0,1,0
Stauromatodon,0.0,0,1,0,0,0
Stegomus,2.9737739999999997,0,0,1,0,0
Stenaulorhynchus,0.0,0,0,0,1,0
Stenomyti,0.0,0,0,1,0,0
Stenoscelida,0.0,0,0,0,1,0
Stereosternum,32.16553,0,0,0,1,1
Styracocephalus,0.0,0,0,0,1,0
Suchonosaurus,0.0,0,1,0,0,0
Sumidadectes,0.0,0,0,1,0,0
Syntarsus,0.0,0,0,1,0,0
Syntomiprosopus,0.0,0,0,1,0,0
Tachiraptor,0.0,0,0,1,0,0
Tanaisosaurus,0.0,0,1,0,0,0
Tangasaurus,0.0,0,0,0,1,0
Tanystropheus,52.357031,0,1,1,0,0
