genus	lat_range_z_trans	Temperate_N	Tropical	Temperate_S	Antarctic
Riojasaurus	-0.336825198	0	0	1	0
Riojasuchus	-0.336825198	0	0	1	0
Romeria	-0.336825198	0	1	0	0
Rothianiscus	-0.336825198	0	1	0	0
Ruehleia	-0.336825198	1	0	0	0
Rugarhynchos	-0.336825198	0	1	0	0
Ruhuhuaria	-0.336825198	0	0	1	0
Rutiodon	0.661634628	0	1	0	0
Sacisaurus	-0.336825198	0	0	1	0
Saltoposuchus	-0.215582004	1	0	0	0
Sanchiaosaurus	-0.336825198	0	1	0	0
Sanchuansaurus	-0.336825198	1	0	0	0
Sanjuansaurus	-0.336825198	0	0	1	0
Santaisaurus	-0.336825198	1	0	0	0
Sarcosaurus	-0.336825198	1	0	0	0
Sarmatosuchus	-0.336825198	1	0	0	0
Saturnalia	-0.267350123	0	0	1	0
Saurodektes	0.006791533	0	0	1	0
Sauropareion	0.006791533	0	0	1	0
Saurorictus	-0.336825198	0	0	1	0
Saurosternon	-0.336825198	0	0	1	0
Saurosuchus	-0.336825198	0	0	1	0
Scelidosaurus	-0.336825198	1	0	0	0
Scharschengia	-0.336825198	1	0	0	0
Schleitheimia	-0.336825198	1	0	0	0
Schultzsuchus	-0.336825198	0	0	1	0
Sclerocormus	-0.336825198	1	0	0	0
Sclerosaurus	0.495501123	0	1	0	0
Sclerostropheus	-0.336825198	0	1	0	0
Scoloparia	1.573842877	1	1	0	0
Scolotosuchus	-0.336825198	1	0	0	0
Scutarx	-0.12430235	0	1	0	0
Scutosaurus	0.005020988	1	0	0	0
Scythosuchus	-0.336825198	1	0	0	0
Seazzadactylus	-0.336825198	1	0	0	0
Serpianosaurus	0.226905217	1	1	0	0
Shansisuchus	-0.120290244	1	0	0	0
Shastasaurus	1.729943075	1	1	0	0
Shihtienfenia	-0.17749496	1	0	0	0
Shonisaurus	2.152385122	1	1	0	0
Shringasaurus	-0.336825198	0	0	1	0
Shuangbaisaurus	-0.336825198	1	0	0	0
Shuvosaurus	0.232185763	0	1	0	0
Sigmala	-0.336825198	1	0	0	0
Sikannisuchus	-0.336825198	1	0	0	0
Silesaurus	-0.336825198	1	0	0	0
Sillosuchus	-0.336825198	0	0	1	0
Simosaurus	3.485342025	1	1	0	0
Sinocyamodus	-0.336825198	1	0	0	0
Sinosaurosphargis	-0.336825198	0	1	0	0
Sinosaurus	-0.336825198	1	0	0	0
Skybalonyx	-0.336825198	0	1	0	0
Smilodonterpeton	-0.336825198	1	0	0	0
Smilosuchus	-0.127290973	0	1	0	0
