,occurrence_no_x,locality,county_original,state,cc,notes,genus,age_max,age_min
288,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
289,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
290,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
291,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
292,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
293,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
294,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
295,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
296,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
297,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
298,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
299,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
300,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
301,486411,Sachsen-Anhalt,,Sachsen-Anhalt,DE,,Plateosaurus,208.5,201.4
302,486412,Thuringia,,Thuringia,DE,,Ruehleia,227.0,208.5
303,486412,Thuringia,,Thuringia,DE,,Ruehleia,227.0,208.5
304,486413,Thuringia,,Thuringia,DE,,Liliensternus,227.0,208.5
305,486413,Thuringia,,Thuringia,DE,,Liliensternus,227.0,208.5
306,490747,New Mexico,Quay,New Mexico,US,,Gojirasaurus,227.0,208.5
307,490749,New Mexico,Quay,New Mexico,US,,Machaeroprosopus,227.0,208.5
308,490750,New Mexico,Quay,New Mexico,US,,Rutiodon,227.0,208.5
309,490751,New Mexico,Quay,New Mexico,US,,Rioarribasuchus,227.0,208.5
310,490752,New Mexico,Quay,New Mexico,US,,Shuvosaurus,227.0,208.5
311,490754,New Mexico,Quay,New Mexico,US,,Shuvosaurus,227.0,208.5
312,490757,Arizona,Apache,Arizona,US,,Typothorax,227.0,208.5
313,490758,Arizona,Apache,Arizona,US,,Hesperosuchus,227.0,208.5
314,490763,Arizona,Apache,Arizona,US,,Machaeroprosopus,227.0,208.5
315,490769,Arizona,Apache,Arizona,US,,Revueltosaurus,227.0,208.5
316,490781,Yunnan,Lufeng,Yunnan,CN,,Lufengosaurus,201.4,199.5
317,490782,Yunnan,Lufeng,Yunnan,CN,,Lufengosaurus,201.4,199.5
318,490785,Yunnan,Lufeng,Yunnan,CN,,Lufengosaurus,201.4,199.5
319,490786,Yunnan,Lufeng,Yunnan,CN,,Gyposaurus,201.4,199.5
320,490787,Yunnan,Lufeng,Yunnan,CN,,Lufengosaurus,201.4,199.5
321,490788,Yunnan,Lufeng,Yunnan,CN,,Lukousaurus,201.4,199.5
322,490789,Yunnan,Lufeng,Yunnan,CN,,Sinosaurus,201.4,199.5
323,491743,Basse-Normandie,Manche,Basse-Normandie,FR,,Lophostropheus,208.5,199.5
